catalog,sim_id,category,nrsur7dq4_calibration,total_mass,q,mass1,mass2,spin1z,spin2z,chi_eff,eccentricity,f_lower_nr,f_lower_sur,f_lower_match,error,match_22,phase_diff_22,n_cycles_22,f_lower_mode_22,match_21,phase_diff_21,n_cycles_21,f_lower_mode_21,match_33,phase_diff_33,n_cycles_33,f_lower_mode_33,match_44,phase_diff_44,n_cycles_44,f_lower_mode_44,match_32,phase_diff_32,n_cycles_32,f_lower_mode_32,match_43,phase_diff_43,n_cycles_43,f_lower_mode_43
SXS,SXS:BBH:0001,b,True,40.0,1.0,20.0,20.0,1.20930921804e-07,1.22196915414e-07,1.2156391860900002e-07,0.0002569,19.83245432197213,26.10605874653162,26.10605874653162,,0.9940373268560608,0.0511017391997799,41.77272243105315,26.10605874653162,0.3066988723799744,2.1188537762226045,35.85558350158412,13.05302937326581,0.2926389394995478,2.011493558888366,48.63095020472293,39.15908811979743,0.9024409216236312,0.9834029526360584,70.70650290682104,52.21211749306324,0.9932342134877946,0.1625104063628878,41.07226991853718,26.10605874653162,0.3507570553794065,0.4480057394698659,58.66304671963853,39.15908811979743
SXS,SXS:BBH:0002,b,True,40.0,1.0,20.0,20.0,9.48400673307e-08,9.3147982293e-08,9.399402481185e-08,0.0001746,18.31963249456636,26.106058740580053,26.106058740580053,,0.994037327051042,0.051101738550298,41.77272243105315,26.106058740580053,0.3066981021366667,2.118853700797394,35.85558350158412,13.053029370290028,0.2926390115872292,2.011493676283468,48.63095020472293,39.15908811087008,0.9024409207807744,0.9834029525415238,70.70650290682104,52.21211748116011,0.993234212400263,0.1625104054424642,41.07226991853718,26.106058740580053,0.3507573795405314,0.4480057467265466,58.66304671963853,39.15908811087008
SXS,SXS:BBH:0007,b,True,40.0,1.499999279862951,23.99999539112156,16.00000460887844,8.64427645114e-08,1.55363889098e-07,1.1401122228726713e-07,0.0004338,19.85300997611571,26.437160148638508,26.437160148638508,,0.9925859841169168,0.0052147336825882,42.17565276678637,26.437160148638508,0.9899283075655418,0.0238905332764599,24.124128930278506,13.218580074319254,0.9949389957488404,0.0423637960708409,64.17283413053705,39.65574022295776,0.9952915044595309,0.2568947715359799,85.44944105404494,52.874320297277016,0.9769064453542036,0.0081641207921007,42.2893731406522,26.437160148638508,0.8850158792202657,0.0057498473461038,64.12006496053161,39.65574022295776
SXS,SXS:BBH:0008,b,True,40.0,1.4999989750008744,23.999993440002907,16.000006559997093,1.47347113534e-07,2.36765414661e-07,1.831144486493949e-07,0.0015862,23.66387967394969,26.43715985735258,26.43715985735258,,0.9925859930350192,0.0052147115412406,42.17565276678637,26.43715985735258,0.989928308244653,0.0238905286185384,24.124128930278506,13.21857992867629,0.9949390014300754,0.0423638619133766,64.17283413053705,39.65573978602887,0.995291502929128,0.2568947956380039,85.44944105404494,52.87431971470516,0.9769064470586136,0.0081641476234389,42.2893731406522,26.43715985735258,0.8850158856642438,0.0057498721333589,64.12006496053161,39.65573978602887
SXS,SXS:BBH:0030,b,True,40.0,2.9999933777070225,29.999983444240147,10.000016555759853,2.89245176314e-07,5.03495783085e-07,3.428079166837899e-07,0.0021213,28.669579692473167,28.49981122541186,28.669579692473167,,0.990129990942588,0.0534553165720379,43.11922442706101,28.669579692473167,0.981501139622944,0.0002720552293958,24.64320139947957,14.334789846236584,0.9941858971318184,0.004158980640497,65.86525323018041,43.00436953870975,0.9924537635043008,0.0196871828734803,88.06056414429864,57.339159384946335,0.9491169321162036,0.0513500102203528,43.37628409981178,28.669579692473167,0.971325365121887,0.0006579096090837,65.85551922738904,43.00436953870975
SXS,SXS:BBH:0066,b,True,40.0,1.0,20.0,20.0,1.20916716917e-07,1.2219203119e-07,1.215543740535e-07,6.43e-05,19.8456914395045,26.10605874653683,26.10605874653683,,0.9940373268561392,0.0511017391997881,41.77272243105315,26.10605874653683,0.3066988721740054,2.118853776213281,35.85558350158412,13.053029373268416,0.2926389395021201,2.011493558970834,48.63095020472293,39.15908811980525,0.9024409216231024,0.983402952636134,70.70650290682104,52.21211749307366,0.9932342134873507,0.1625104063625612,41.07226991853718,26.10605874653683,0.3507570554469204,0.4480057394793678,58.66304671963853,39.15908811980525
SXS,SXS:BBH:0067,b,True,40.0,1.0,20.0,20.0,1.2089943421e-07,1.22175940602e-07,1.21537687406e-07,0.0002365,19.83226902543657,26.10605874653509,26.10605874653509,,0.9940373268562598,0.0511017391994601,41.77272243105315,26.10605874653509,0.3066988717254316,2.118853776172338,35.85558350158412,13.053029373267544,0.2926389395392021,2.011493559054032,48.63095020472293,39.15908811980263,0.9024409216225232,0.9834029526361068,70.70650290682104,52.21211749307018,0.9932342134866726,0.1625104063620007,41.07226991853718,26.10605874653509,0.3507570556299556,0.4480057394857824,58.66304671963853,39.15908811980263
SXS,SXS:BBH:0068,b,True,40.0,1.0,20.0,20.0,1.20706276316e-07,1.2202822782e-07,1.2136725206799998e-07,0.0019465,19.698429263311773,26.10605874654233,26.10605874654233,,0.9940373268575332,0.0511017391968746,41.77272243105315,26.10605874654233,0.3066988673290403,2.1188537757947707,35.85558350158412,13.053029373271166,0.292638939846624,2.011493560037661,48.63095020472293,39.1590881198135,0.9024409216158766,0.9834029526362112,70.70650290682104,52.21211749308466,0.9932342134795292,0.1625104063562862,41.07226991853718,26.10605874654233,0.3507570573535305,0.4480057395710596,58.66304671963853,39.1590881198135
SXS,SXS:BBH:0070,b,True,40.0,1.0000000210734246,20.000000210734243,19.99999978926576,1.20921763909e-07,1.22190264669e-07,1.215560142823171e-07,4.59e-05,19.847183247524587,26.106058746794776,26.106058746794776,,0.9940373268420148,0.0511017380806907,41.77272243105315,26.106058746794776,0.3066981476721936,2.118853791467338,35.85558350158412,13.053029373397388,0.2926385233565183,2.011493420252208,48.63095020472293,39.159088120192166,0.9024409215801794,0.98340295134401,70.70650290682104,52.21211749358955,0.9932342134665214,0.1625104052705442,41.07226991853718,26.106058746794776,0.3507566626768307,0.4480057723094649,58.66304671963853,39.159088120192166
SXS,SXS:BBH:0071,b,True,40.0,1.0000000210734246,20.000000210734243,19.99999978926576,1.20918013158e-07,1.22196547736e-07,1.2155728044026424e-07,6.1e-05,19.848675141011253,26.10605874680144,26.10605874680144,,0.994037326842016,0.0511017380809397,41.77272243105315,26.10605874680144,0.306698147764975,2.118853791485509,35.85558350158412,13.053029373400715,0.2926385233318155,2.0114934202868064,48.63095020472293,39.15908812020215,0.9024409215799924,0.9834029513441191,70.70650290682104,52.21211749360287,0.9932342134665044,0.1625104052705829,41.07226991853718,26.10605874680144,0.3507566626188591,0.4480057723155239,58.66304671963853,39.15908812020215
